               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10275,            0.079081,            0.026405,                   0,                   0,                   0,                   0,              0.1009,            0.099972,             0.02578,            0.070288,           0.0033013,           0.0033013
                   1,            0.095373,            0.074589,            0.022818,             0.51924,            0.084821,            0.009362,            0.002776,            0.099713,             0.12444,           0.0080451,             0.03996,           0.0063062,           0.0063062
                   2,            0.087201,            0.068321,            0.017895,             0.57331,            0.068973,            0.032182,           0.0095777,             0.10237,             0.09023,            0.010519,           0.0093016,           0.0089811,           0.0089811
                   3,            0.079793,            0.065375,             0.01129,             0.68279,             0.29464,             0.16902,            0.067601,            0.065358,            0.070076,           0.0031937,            0.008515,            0.008515,            0.008515
                   4,            0.073033,            0.062568,           0.0066472,             0.80436,             0.20424,             0.20743,            0.081437,            0.072687,            0.076862,            0.017912,            0.008515,            0.008515,            0.008515
                   5,            0.068726,            0.062611,           0.0049355,             0.92144,             0.35692,             0.39347,             0.18799,            0.050422,            0.055941,           0.0022715,             0.00802,             0.00802,             0.00802
                   6,            0.063915,            0.058937,           0.0034374,              0.8575,             0.34327,              0.3542,             0.16266,            0.054768,            0.061086,           0.0035178,            0.007525,            0.007525,            0.007525
                   7,            0.061495,            0.059103,           0.0027498,             0.41848,             0.30711,             0.36689,              0.1847,            0.053656,            0.059453,           0.0039278,             0.00703,             0.00703,             0.00703
                   8,            0.057193,            0.057984,           0.0021509,             0.95837,              0.3834,             0.43028,             0.23191,            0.048517,             0.04848,           0.0025564,            0.006535,            0.006535,            0.006535
                   9,             0.05547,            0.055617,           0.0020291,             0.96032,             0.39665,             0.43461,               0.208,            0.047477,             0.04892,           0.0011471,             0.00604,             0.00604,             0.00604
                  10,            0.052498,            0.053842,           0.0017707,             0.46347,             0.38803,              0.4272,             0.22771,            0.047073,             0.05408,           0.0038832,            0.005545,            0.005545,            0.005545
                  11,            0.051541,            0.052829,           0.0014868,             0.96441,             0.39152,             0.44181,             0.23866,            0.044597,            0.047095,           0.0014593,             0.00505,             0.00505,             0.00505
                  12,            0.048435,            0.051858,           0.0012394,             0.97014,              0.4125,             0.45223,             0.25411,            0.041686,            0.044131,           0.0011354,            0.004555,            0.004555,            0.004555
                  13,            0.048178,            0.050364,           0.0011313,             0.97444,             0.43058,             0.48785,             0.26844,            0.040222,            0.042746,          0.00054127,             0.00406,             0.00406,             0.00406
                  14,            0.046549,            0.051082,          0.00098855,             0.43771,             0.55625,             0.45963,             0.25606,            0.041332,             0.04665,           0.0021884,            0.003565,            0.003565,            0.003565
                  15,            0.046234,            0.049652,           0.0010524,             0.47666,             0.43314,             0.46558,              0.2677,            0.039057,            0.045467,           0.0013774,             0.00307,             0.00307,             0.00307
                  16,            0.044347,            0.048535,          0.00079286,              0.4512,              0.6442,             0.50484,             0.28428,            0.038484,            0.042803,          0.00063644,            0.002575,            0.002575,            0.002575
                  17,            0.044199,            0.049307,          0.00076502,             0.47895,             0.42143,             0.46382,             0.27239,            0.038463,            0.043753,           0.0008121,             0.00208,             0.00208,             0.00208
                  18,            0.043333,            0.048563,          0.00081723,             0.48029,               0.425,             0.46356,             0.27313,             0.03906,            0.043474,           0.0016543,            0.001585,            0.001585,            0.001585
                  19,             0.04344,            0.047932,           0.0006525,             0.47817,             0.43525,             0.48056,             0.28554,            0.037289,            0.041246,          0.00053186,             0.00109,             0.00109,             0.00109
